Название,Цена,Категория,Подкатегория,Описание,Фото (URL),Доступность
S25 ultra 12/512  (S938B),71 990,Смартфоны,Samsung," инновационный флагман с 6.9"" Dynamic AMOLED 2X 144 Гц, процессором Snapdragon 8 Gen 4, 200 МП тетра-камерой с ИИ-улучшением, встроенным S-Pen, титановым корпусом IP68, аккумулятором 5500 мАч с 100W зарядкой и спутниковой связью — абсолютный лидер среди смартфонов 2025 года.",https://avatars.mds.yandex.net/get-mpic/13225615/2a00000194ae464d9b40dfedc26a0eda60ac/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 ultra 12/1024 (S938B),79 990,Смартфоны,Samsung," инновационный флагман с 6.9"" Dynamic AMOLED 2X 144 Гц, процессором Snapdragon 8 Gen 4, 200 МП тетра-камерой с ИИ-улучшением, встроенным S-Pen, титановым корпусом IP68, аккумулятором 5500 мАч с 100W зарядкой и спутниковой связью — абсолютный лидер среди смартфонов 2025 года.",https://avatars.mds.yandex.net/get-mpic/13225615/2a00000194ae464d9b40dfedc26a0eda60ac/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Huawei Pura 80 Ultra 512GB,79 990,Смартфоны,Huawei,"6.8"" 120Hz OLED, Kirin 9020, 16+512GB, 1-дюймовая камера (3.7x/9.4x зум), 100W зарядка, IP68/IP69.",https://content.onliner.by/news/1200x5616/f3e08671cbc493fda0206548de4e91e6.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AW SE 2 (2024) 40 S/M,13 990,Аксессуары,Apple,"стильные и доступные умные часы с процессором S8, функцией краш-детекции, мониторингом сна и активности, водонепроницаемостью 50м и до 18 часов работы — идеальный гаджет для здоровья и продуктивности",https://avatars.mds.yandex.net/get-mpic/12503234/2a000001929be6b80799272effc79b64af6d/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AW SE 2 (2024) 44 S/M,13 990,Аксессуары,Apple,"стильные и доступные умные часы с процессором S8, функцией краш-детекции, мониторингом сна и активности, водонепроницаемостью 50м и до 18 часов работы — идеальный гаджет для здоровья и продуктивности",https://avatars.mds.yandex.net/get-mpic/12503234/2a000001929be6b80799272effc79b64af6d/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AW S10 42 S/M sport band,27 990,Аксессуары,Apple,"топовые умные часы с новым чипом S10, улучшенным дисплеем, расширенными функциями здоровья (включая мониторинг давления и глюкозы), автономностью до 36 часов и ударопрочным дизайном — премиум-гаджет для здоровья, спорта и стиля.",https://avatars.mds.yandex.net/get-mpic/11476411/2a00000194793367d042286a097e44aefa8e/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AW S10 46 M/L black sport band,30 990,Аксессуары,Apple,"топовые умные часы с новым чипом S10, улучшенным дисплеем, расширенными функциями здоровья (включая мониторинг давления и глюкозы), автономностью до 36 часов и ударопрочным дизайном — премиум-гаджет для здоровья, спорта и стиля.",https://avatars.mds.yandex.net/get-mpic/11476411/2a00000194793367d042286a097e44aefa8e/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AW Ultra 2 (2024) 49 S/M blue/black trail loop,44 990,Аксессуары,Apple,"экстремальные умные часы с сверхярким дисплеем 3000 нит, чипом S9 SiP, спутниковой SOS-связью, рекордной автономностью до 72 часов, дайвинг-режимом EN13319 и титановым корпусом — для спортсменов, путешественников и покорителей вершин.",https://avatars.mds.yandex.net/i?id=c3e0069f2f3d918fd0d2c0427713e83e24249aa7-7041172-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Mini 7 Pro (2024) wi-fi 128,37 990,Планшеты,Apple," компактный, но мощный планшет с чипом A16 Bionic, 8.3"" Liquid Retina 120 Гц, поддержкой Apple Pencil 2, улучшенной камерой 12 МП и тонким безрамочным дизайном — идеальный инструмент для творчества, работы и развлечений в дороге.",https://avatars.mds.yandex.net/get-mpic/12719412/img_id4556428020905623953.jpeg/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Mini 7 Pro (2024) wi-fi 256,43 990,Планшеты,Apple," компактный, но мощный планшет с чипом A16 Bionic, 8.3"" Liquid Retina 120 Гц, поддержкой Apple Pencil 2, улучшенной камерой 12 МП и тонким безрамочным дизайном — идеальный инструмент для творчества, работы и развлечений в дороге.",https://avatars.mds.yandex.net/get-mpic/12719412/img_id4556428020905623953.jpeg/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Air 13 M2 wi-fi 128,57 990,Планшеты,Apple," ультратонкий и мощный планшет с чипом M2, 13-дюймовым Liquid Retina дисплеем, поддержкой Apple Pencil Pro, камерой 12 МП и функциями iPadOS для профессионалов — идеальный баланс производительности и портативности.",https://frankfurt.apollo.olxcdn.com/v1/files/wph807tfs47y2-UZ/image,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Air 11 M3 (2025) wi-fi 256,52 990,Планшеты,Apple,"компактный флагман с чипом M3, 11"" Liquid Retina XDR 120 Гц, поддержкой Apple Pencil 3, улучшенной 12 МП камерой и вдвое более быстрым SSD — мощь Pro-уровня в ультрапортативном корпусе.",https://avatars.mds.yandex.net/get-mpic/12371932/2a00000195c71b8c29bc9a29b5cb2088f1b2/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Air 13 M3 (2025) wi-fi 128,58 990,Планшеты,Apple,"революционный планшет с чипом M3, 13,6"" Liquid Retina XDR 120 Гц, поддержкой Apple Pencil 3, усовершенствованной системой охлаждения и рекордной автономностью – идеальный инструмент для творцов и профессионалов.",https://avatars.mds.yandex.net/get-mpic/12371932/2a00000195c71b8c29bc9a29b5cb2088f1b2/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Pro 11 M4 (2024) wi-fi 256,71 990,Планшеты,Apple,"инновационный планшет с чипом M4, 11"" Ultra Retina XDR OLED 120 Гц, революционной камерой LiDAR, поддержкой Apple Pencil Pro и рекордно тонким дизайном — абсолютный лидер в классе премиальных планшетов.",https://avatars.mds.yandex.net/i?id=e5e4945d9b193f61d8ac6304aaf8984d6c7b123e-4451316-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Pro 13 M4 (2024) wi-fi 256,91 990,Планшеты,Apple,"революционный планшет с чипом M4, 13"" Ultra Retina XDR OLED 120 Гц, улучшенной системой охлаждения, поддержкой Apple Pencil Pro с тактильной отдачей, камерой LiDAR и рекордно тонким корпусом — идеальный инструмент для профессионалов и творческих гениев.",https://static.re-store.ru/upload/resize_cache/iblock/198/100500_800_140cd750bba9870f18aada2478b24840a/eu1jn6a9liiq1d8nahglhe4kw1l52wx4.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPad Pro 13 M4 (2024) LTE 256,98 990,Планшеты,Apple,"мощный профессиональный планшет с чипом M4, 13"" Ultra Retina XDR OLED 120 Гц, мобильным интернетом LTE, поддержкой Apple Pencil Pro, камерой LiDAR и улучшенной автономностью — идеален для работы в любом месте.",https://static.re-store.ru/upload/resize_cache/iblock/198/100500_800_140cd750bba9870f18aada2478b24840a/eu1jn6a9liiq1d8nahglhe4kw1l52wx4.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 13 M3 8/256 (MRXV3),63 990,Ноутбуки,Apple,"ультратонкий ноутбук с чипом Apple M3, Retina-дисплеем, 18-часовой автономностью и бесшумной безвентиляторной конструкцией – идеальный баланс мощности и портативности для работы и творчества.",https://avatars.mds.yandex.net/get-mpic/11778691/2a00000191959f0dd129e8c64ca0d8d72b80/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 13 M3 8/512 (MRXW3),73 990,Ноутбуки,Apple,"ультратонкий ноутбук с чипом Apple M3, Retina-дисплеем, 18-часовой автономностью и бесшумной безвентиляторной конструкцией – идеальный баланс мощности и портативности для работы и творчества.",https://avatars.mds.yandex.net/get-mpic/11778691/2a00000191959f0dd129e8c64ca0d8d72b80/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 15 M3 16/256 (MC9G4),76 490,Ноутбуки,Apple,"ультратонкий ноутбук с чипом Apple M3, 15,3-дюймовым Retina-дисплеем, увеличенной оперативной памятью 16 ГБ, 18-часовой автономностью и бесшумной безвентиляторной системой – идеальное сочетание большого экрана, мощности и портативности для профессиональных задач и мультимедиа.",https://static.re-store.ru/upload/iblock/92a/ap8847sto2ziabm1uwumxiom1lit8zbs.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 15 M3 16/512  (MXD13),102 990,Ноутбуки,Apple,"премиальный ультрабук с чипом Apple M3, 15.3"" Retina-дисплеем, увеличенной памятью 16GB/512GB, 18-часовой автономностью и безвентиляторным дизайном — идеален для профессиональной работы, творчества и мультимедиа.",https://static.re-store.ru/upload/iblock/92a/ap8847sto2ziabm1uwumxiom1lit8zbs.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 15 M3 24/512 (MC9L4),105 990,Ноутбуки,Apple,"топовая версия ультрабука с чипом M3, 15,3"" Retina-дисплеем, увеличенной RAM 24 ГБ, быстрым SSD 512 ГБ, 18-часовой работой и тихим безвентиляторным корпусом — максимальная производительность для профессиональных задач в ультрапортативном форм-факторе.",https://static.re-store.ru/upload/iblock/92a/ap8847sto2ziabm1uwumxiom1lit8zbs.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 13 M4 16/256  (MC6T4),70 990,Ноутбуки,Apple,"ультрабук нового поколения с чипом M4, 13,6"" Liquid Retina дисплеем, 16 ГБ унифицированной памяти, 18-часовой автономностью и революционной системой охлаждения — идеальный баланс мощности, портативности и бесшумной работы.",https://cdn1.ozone.ru/s3/multimedia-1-2/7399858862.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 13 M4 24/512 (MC6C4),103 990,Ноутбуки,Apple,"флагманский ультрабук с чипом M4, 13,6"" Liquid Retina XDR-дисплеем, увеличенной памятью 24 ГБ, сверхбыстрым SSD 512 ГБ, 20-часовой автономностью и инновационной системой охлаждения — непревзойдённая производительность для профессионалов в ультралёгком корпусе.",https://cdn1.ozone.ru/s3/multimedia-1-2/7399858862.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 15 M4 16/256 (MW1L3),97 990,Ноутбуки,Apple,"ультрабук нового поколения с чипом M4, 15,3"" Liquid Retina XDR-дисплеем 600 нит, 16 ГБ унифицированной памяти, 18-часовой автономностью и революционной энергоэффективностью — идеальное сочетание большого экрана и портативности (всего 1,51 кг) для работы и мультимедиа.",https://cdn1.ozone.ru/s3/multimedia-1-z/7262633375.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Air 15 M4 16/512 sky blue (MC7C4),107 990,Ноутбуки,Apple,"ультрабук нового поколения с чипом M4, 15,3"" Liquid Retina XDR-дисплеем 600 нит, 16 ГБ унифицированной памяти, 18-часовой автономностью и революционной энергоэффективностью — идеальное сочетание большого экрана и портативности (всего 1,51 кг) для работы и мультимедиа.",https://cdn1.ozone.ru/s3/multimedia-1-z/7262633375.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Pro 14 M4 10/10C GPU 16/1024 (MW2V3),134 990,Ноутбуки,Apple,"профессиональный ноутбук с чипом M4 (10-core CPU/10-core GPU), 14.2"" Liquid Retina XDR дисплеем ProMotion 120 Гц, 16 ГБ RAM, сверхбыстрым SSD 1 ТБ, продвинутым охлаждением и рекордной автономностью до 22 часов — идеальный инструмент для креативщиков и разработчиков.",https://avatars.mds.yandex.net/get-mpic/14365984/2a00000194cf956c9f280de01dfe3da3e473/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Pro 14 M4 Pro 12/16C GPU 24/512 (MX2E3),148 990,Ноутбуки,Apple,"профессиональная рабочая станция с чипом M4 Pro (12-core CPU/16-core GPU), 14.2"" Liquid Retina XDR 120 Гц, 24 ГБ RAM, SSD 512 ГБ, системой активного охлаждения и до 18 часов работы — идеальный выбор для ресурсоемких задач и мобильной продуктивности.",https://avatars.mds.yandex.net/get-mpic/12301908/2a00000194892e094474e6f9d402be01a417/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Pro 14 M4 Pro 14/20C GPU 24/1024  (MX2J3),181  990,Ноутбуки,Apple,"топовая мобильная рабочая станция с чипом M4 Pro (14-core CPU/20-core GPU), 14.2"" Liquid Retina XDR 120 Гц, 24 ГБ RAM, сверхбыстрым SSD 1 ТБ, продвинутой системой охлаждения и до 18 часов автономности — безкомпромиссное решение для профессионального 8K-монтажа, 3D-рендеринга и ИИ-разработки.",https://avatars.mds.yandex.net/get-mpic/12301908/2a00000194892e094474e6f9d402be01a417/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
MacBook Pro 16 M4 Pro 14/20C GPU 24/512 (MX2X3),194 990,Ноутбуки,Apple,"профессиональная мобильная рабочая станция с чипом M4 Pro (14-core CPU/20-core GPU), 16.2"" Liquid Retina XDR 120 Гц, 24 ГБ RAM, SSD 512 ГБ, улучшенной системой охлаждения и до 22 часов автономности — идеальный инструмент для требовательных задач: от 8K-монтажа до сложного 3D-рендеринга.",https://avatars.mds.yandex.net/i?id=727d6187f44d2da3edf067e087de1138c40aa4ea-4926719-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Яндекс станция Алиса Макс 2,23 990,Аксессуары,Яндекс,"умная колонка премиум-класса с качественным звуком 50 Вт, поддержкой Алисы, 4K-телевизором на базе Android TV, голосовым управлением и встроенным Zoom — идеальный центр развлечений и умного дома.",https://habrastorage.org/getpro/habr/upload_files/13f/0e5/97b/13f0e597bf5153497d61bc1dd161612e.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Яндекс станция Алиса Дуо Макс 2,29 990,Аксессуары,Яндекс,"премиум-комплект из двух умных колонок с общим звуком 100 Вт, синхронизацией для стереозвука, поддержкой 4K-ТВ (с HDMI-донглом), голосовым управлением Алисой и автоматической калибровкой под помещение — готовый кинотеатр и концертная система для дома.",https://spb-katalog.ru/image/catalog/1111sdfad/maxresdefault6.jpeg.webp,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Яндекс станция стрит,9 990,Аксессуары,Яндекс,"уличная умная колонка с влагозащитой IPX5, мощным звуком 20 Вт, голосовым управлением Алисой, автономностью до 12 часов и поддержкой Bluetooth — идеальный спутник для пикников, вечеринок и походов.",https://syomastore.ru/wa-data/public/shop/img/a3eac7010d982fca1388b3881ca8871a.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
